Район,Численность,Рождаемость,Смертность
Татарский район,"19,297",12.5,15.6
Усть-Таркский район,"14,670",14.5,11.2
Чистоозерный район,"22,444",11.3,14.4
Кыштовский район,"16,427",11.7,14.5
Венгеровский район,"22,877",12.4,14.8
Чановский район,"29,391",13,14.3
Купинский район,"37,451",11.3,13
Баганский район,"18,457",13,11.8
Карасукский район,"48,548",14.7,12.6
Северный район,"11,835",13.5,11.3
Барабинский район,"17,126",14.5,13.3
Куйбышевский район,"19,386",13.1,13.5
Здвинский район,"18,770",11.9,13.3
Краснозерский район,"38,836",12.5,11.9
Доволенский район,"20,664",11.4,13.8
Убинский район,"19,300",12.2,14
Каргатский район,"22,025",12,14.8
Кочковский район,"16,301",10,12.7
Чулымский район,"36,763",11.5,14.1
Ордынский район,"39,209",11.9,14.1
Коченевский район,"46,378",12.4,13.6
Колыванский район,"25,737",14,12.4
Сузунский район,"34,917",13.1,13.3
Новосибирский район,"113,047",13.1,11.6
Искитимский район,"66,420",12.7,12.7
Черепановский район,"50,959",14.8,14.4
Мошковский район,"41,281",14.1,15.2
Тогучинский район,"65,515",12.4,17.1
Болотнинский район,"32,348",12.8,17.5
Маслянинский район,"27,196",14.8,12.0
