Area,Value,Born1000,Death1000,YoungMen,WorkMen,OldMen,YoungWoomen,WorkWoomen,OldWoomen
Татарский район,"19,297",12.5,15.6,"2,295","5,514","1,419","2,231","5,132","2,706"
Усть-Таркский район,"14,670",14.5,11.2,"1,732","4,219","1,032","1,733",3 988,"1,966"
Чистоозерный район,"22,444",11.3,14.4,"2,434","7,635","1,401","2,284","5,897","2,793"
Кыштовский район,"16,427",11.7,14.5,"2,000","4,621","1,284","1,878","4,162","2,482"
Венгеровский район,"22,877",12.4,14.8,"2,590","6,579","1,780","2,375","6,100","3,453"
Чановский район,"29,391",13,14.3,"3,312","8,681","4,219","3,198","8,178","4,070"
Купинский район,"37,451",11.3,13,"4,273","11,051","2,320","4,022","10,842","4,943"
Баганский район,"18,457",13,11.8,"2,243","5,379","1,164","2,122","5,271","2,278"
Карасукский район,"48,548",14.7,12.6,"5,346","14,214","3,172","5,042","14,499","6,275"
Северный район,"11,835",13.5,11.3,"1,354","3,611",751,"1,328","3,226","1,565"
Барабинский район,"17,126",14.5,13.3,"1,869","5,084",1 274,"1,755","4,619","2,525"
Куйбышевский район,"19,386",13.1,13.5,"2,184","5,644","1,481","2,038","5,116","2,923"
Здвинский район,"18,770",11.9,13.3,"2,010","5,495","1,514","1,817","5,096","2,838"
Краснозерский район,"38,836",12.5,11.9,"4,157","11,401","2,849","4,017","11,013","5,399"
Доволенский район,"20,664",11.4,13.8,"2,185","5,946","1,653","2,084","5,676","3,120"
Убинский район,"19,300",12.2,14,"1,899","6,808","1,338","1,830","4,884","2,541"
Каргатский район,"22,025",12,14.8,"2,209","6,443","1,773","2,160","6,082","3,358"
Кочковский район,"16,301",10,12.7,"1,763","4,875","1,174","1,634","4,549","2,306"
Чулымский район,"36,763",11.5,14.1,"2,724","7,808","2,136","2,566","7,302","4,227"
Ордынский район,"39,209",11.9,14.1,"4,018","11,474","3,015","3,740","10,890","6,072"
Коченевский район,"46,378",12.4,13.6,"1,763","4,875","1,174","1,634","4,549","2,306"
Колыванский район,"25,737",14,12.4,"2,465","8,035","1,882","2,342",7 419,"3,603"
Сузунский район,"34,917",13.1,13.3,"3,680","10,329","2,499","3,414",9430,"5,052"
Новосибирский район,"113,047",13.1,11.6,"10,377","36,715","6,032","9,766","363,214","13,939"
Искитимский район,"66,420",12.7,12.7,"6,571","20,202","4,203","6,416","20,214","8,814"
Черепановский район,"50,959",14.8,14.4,"5,614","14,797","3,330","5,161","14,888","7,169"
Мошковский район,"41,281",14.1,15.2,"4,303","12,366","2,742","3,992","11,950","5,928"
Тогучинский район,"65,515",12.4,17.1,"6,327","21,615","4,644","6,190","17,424","9,315"
Болотнинский район,"32,348",12.8,17.5,"3,563","9,253","2,238","3,422","9,114","4,758"
Маслянинский район,"27,196",14.8,12.0,"2,927","7,986","1,843","2,858","7,761","3,821"
